Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,InteractR\InteractR.csproj,File,InteractR\InteractR.csproj,,,,,,,,Current target framework: netstandard2.1;net9;net10 Recommended target framework: netstandard2.1;net9;net10;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Tests\InteractR.Tests.csproj,File,Tests\InteractR.Tests.csproj,,,,,,,,Current target framework: net10 Recommended target framework: net10.0
